caseName,status,websiteDbName,cleanClaimsDbName,submittedOnlineCount,matchedInCleanClaimsCount,missingCount,missingAfterDeadlineCount,largestMissingDay,largestMissingDayCount,deadlineDate,referenceDate,isDBOnline,isActive,description
"Caldwell. v. Identity Intelligence Group, LLC",OK,IdentityIntelligenceGroup_Caldwell_C,IdentityIntelligenceGroup_Caldwell_C_SQL,13739,13739,0,0,,0,2026-03-06,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Calton v. Medical Center Barbour,OK,MedicalCenterBarbour_Calton_C,MedicalCenterBarbour_Calton_C_SQL,1011,1011,0,0,,0,2026-01-02,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Carbajal v. Cenlar FSB,OK,CenlarFSB_Carbajal_C,CenlarFSB_Carbajal_C_SQL,141,141,0,0,,0,2026-05-15,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Casilao v. Hotelmacher LLC,OK,Hotelmacher_Casilao_C,Hotelmacher_Casilao_C_SQL,0,0,0,0,,0,2024-07-15,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Castaneda v. Los Dos Potrillos, LLC",OK,LosDosPotrillos_Castenada_C,LosDosPotrillos_Castenada_C_SQL,0,0,0,0,,0,2025-04-18,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Christopher v. Box, Inc.",OK,Box_Christopher_C,Box_Christopher_C_SQL,34,34,0,0,,0,2026-05-11,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"City of Oakland v. California Waste Solutions, Inc.",OK,CaliforniaWasteSolutions_CityOfOakland_C,CaliforniaWasteSolutions_CityOfOakland_C_SQL,0,0,0,0,,0,2025-04-11,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Collier v. Adar Hartford Realty, LLC",OK,AdarHartfordRealty_Collier_PC,AdarHartfordRealty_Collier_PC_SQL,0,0,0,0,,0,2025-11-06,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Collins v. The District of Columbia,OK,DistrictOfColumbia_Collins_C,DistrictOfColumbia_Collins_C_SQL,347,347,0,0,,0,2025-10-24,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Cordoba v. DIRECTV, LLC",OK,DirecTV_Cordoba_C,DirecTV_Cordoba_C_SQL,0,0,0,0,,0,2024-05-17,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Cordoba v. DIRECTV, LLC (W-9 Form)",OK,DirecTV_Cordoba_C,DirecTV_Cordoba_C_SQL,0,0,0,0,,0,2024-06-21,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Cortez v. Grass Clips, Inc.",OK,GrassClips_Cortez_PC,GrassClips_Cortez_PC_SQL,0,0,0,0,,0,2022-10-24,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Croce v. St Josephs College of New York,OK,StJosephsCollegeOfNewYork_Croce_C,StJosephsCollegeOfNewYork_Croce_C_SQL,174,174,0,0,,0,2026-01-12,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Cusack v. SROA Capital, LLC",OK,SROACapital_Cusack_C,SROACapital_Cusack_C_SQL,0,0,0,0,,0,2025-04-10,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Daniel v. Mars Wrigley Confectionery US, LLC",OK,MarsWrigleyConfectioneryUS_DanielMonson_C,MarsWrigleyConfectioneryUS_DanielMonson_C_SQL,0,0,0,0,,0,2024-08-28,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Daniel v. Stericycle, Inc., et al.",OK,Stericycle_Daniel_PC,Stericycle_Daniel_PC_SQL,0,0,0,0,,0,2023-01-10,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Darling v. West Coast Self Storage,OK,WestCoastSelfStorage_Darling_C,WestCoastSelfStorage_Darling_C_SQL,18,18,0,0,,0,2026-05-11,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"David McCollum, et al. v. Peter P.M. Buttigieg, Secretary,
Department of Transportation (FAA)",OK,FAA_McCollum2_C,FAA_McCollum2_C_SQL,0,0,0,0,,0,,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
de Rochemont v. UC Distribution LLC,OK,UCDistribution_deRochemont_O,UCDistribution_deRochemont_O_SQL,541,541,0,0,,0,2026-04-20,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Dean v. Maryville University of Saint Louis,OK,MaryvilleUniversityOfSaintLouis_Dean_C,MaryvilleUniversityOfSaintLouis_Dean_C_SQL,0,0,0,0,,0,2025-03-06,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
District of Columbia v. Kevin Onyona (Swahili Village),OK,KevinOnyona_DistrictOfColumbia_C,KevinOnyona_DistrictOfColumbia_C_SQL,0,0,0,0,,0,2025-01-29,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Dryden v. Tri Counties Bank,OK,TriCountiesBank_Dryden_C,TriCountiesBank_Dryden_C_SQL,1295,1295,0,0,,0,2026-04-21,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Edwards v. City of Raleigh,OK,CityofRaleigh_Edwards_PC,CityofRaleigh_Edwards_PC_SQL,0,0,0,0,,0,2025-02-07,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"EEOC v BaronHR, LLC",OK,RadiantServicesBaronHR_EEOC_C,BaronHR_EEOC_C_SQL,60,60,0,0,,0,2025-10-15,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"EEOC v. Focus Plumbing, LLC",OK,FocusPlumbing_EEOC_C,FocusPlumbing_EEOC_C_SQL,0,0,0,0,,0,2024-10-01,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
EEOC v. Joe and The Juice,OK,JoeAndTheJuice_EEOC_C,JoeAndTheJuice_EEOC_C_SQL,0,0,0,0,,0,2023-07-17,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"EEOC v. Kane’s Furniture, LLC dba Kane’s Furniture",OK,KanesFurniture_EEOC_C,KanesFurniture_EEOC_C_SQL,34,34,0,0,,0,2025-08-01,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
EEOC v. Kickback Jacks,OK,BattlegroundRestaurants_EEOC_C,BattlegroundRestaurants_EEOC_C_SQL,16,16,0,0,,0,2026-08-03,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
EEOC v. Leopalace Guam Corporation dba Leopalace Resort,OK,LeopalaceGuamCorporation_EEOC_C,LeopalaceGuamCorporation_EEOC_C_SQL,51,51,0,0,,0,2026-04-19,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"EEOC v. Nevada Restaurant Services, Inc.",OK,NevadaRestaurantServices_EEOC_C,NevadaRestaurantServices_EEOC_C_SQL,164,164,0,0,,0,2026-05-11,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Ellsworth v. Robertson’s Ready Mix, LTD",OK,RobertsonsReadyMix_Ellsworth_C,RobertsonsReadyMix_Ellsworth_C_SQL,0,0,0,0,,0,2023-05-22,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Fava v. Laborers International Union of North America Local 1184,OK,LaborersInternationalUnionOfNorthAmerica_Fava_C,LaborersInternationalUnionOfNorthAmerica_Fava_C_SQL,80,80,0,0,,0,2026-02-14,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"FIGUEROA v. BUTTERBALL, LLC",OK,Butterball_Figueroa_PC,ButterballPostCert_SQL,0,0,0,0,,0,2023-11-30,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Ford v. Farha Roofing, LLC",OK,FarhaRoofing_Ford_C,FarhaRoofing_Ford_C_SQL,4,4,0,0,,0,2025-06-13,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Fritz, et al. v. Glacier Bank, et al.",OK,GlacierBank_FritzAdams_C,GlacierBank_FritzAdams_C_SQL,149,149,0,0,,0,2026-04-21,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Gannon v. W.P. Malone,OK,WPMalone_Gannon_C,WPMalone_Gannon_C_SQL,339,339,0,0,,0,2026-01-26,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Goff v. County of Riverside,OK,CountyofRiverside_Goff_PC,CountyofRiverside_Goff_PC_SQL,93,93,0,0,,0,2026-02-10,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Goodwin v. Word & Brown Insurance Administrators, Inc.",OK,WordAndBrownInsurance_Goodwin_C,WordAndBrownInsurance_Goodwin_C_SQL,95,95,0,0,,0,2026-02-19,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Gore v. Potpourri Group, Inc.",OK,PotpourriGroup_Gore_C,PotpourriGroup_Gore_C_SQL,0,0,0,0,,0,2022-11-28,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Grosch v. Merrill Lynch,OK,MerrillLynchPierceFennerSmith_Grosch_C,MerrillLynchPierceFennerSmith_Grosch_C_SQL,0,0,0,0,,0,2025-04-01,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Guzman v Allan Company, Inc.",OK,Allan_Guzman_D,Allan_Guzman_D_SQL,0,0,0,0,,0,2024-05-31,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Haggerty, et al. v. Reliant Pro Rehab LLC",OK,Reliant_Haggerty_PC,Reliant_Haggerty_PC_SQL,0,0,0,0,,0,2023-05-30,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Hashemi, et al. v. Bosley, Inc.",OK,Bosley_Hashemi_C,Bosley_Hashemi_C_SQL,0,0,0,0,,0,2022-07-07,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Henderson, et al. v. Reventics, LLC",OK,ReventicsLLC_Henderson_C,ReventicsLLC_Henderson_C_SQL,11396,11396,0,1,,0,2025-07-25,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Hootselle, et al. v. Missouri Department of Corrections",OK,MissouriDepartmentOfCorrections_Hootselle_C,MissouriDepartmentOfCorrections_Hootselle_C_Disbursement_SQL,0,0,0,0,,0,2022-12-02,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Hopkins, et al. v. Aladdin Food Management Services, LLC, et al.",OK,AladdinFoodManagementServices_Hopkins_C,AladdinFoodManagementServices_Hopkins_C_SQL,249,249,0,0,,0,2025-11-17,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Johnson v. Hawthorne Residential Partners LLC et al.,OK,HawthorneResidentialPartners_Johnson_C,HawthorneResidentialPartners_Johnson_C_SQL,0,0,0,0,,0,2023-07-25,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Jones v. Einstein and Noah Corp.,OK,EinsteinAndNoahCorp_JonesMears_C,EinsteinAndNoahCorp_JonesMears_C_SQL,0,0,0,0,,0,2025-03-22,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Jones v. Tapestry, Inc.",OK,Tapestry_Jones_C,Tapestry_Jones_C_SQL,83,83,0,0,,0,2025-11-21,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Josey v. DCT Pizza Companies,OK,DCTPizzaCompanies_Josey_C,DCTPizzaCompanies_Josey_C_SQL,0,0,0,0,,0,2025-06-02,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Kittlitz v. Half Price Books, Records, Magazines Inc.",OK,HalfPriceBooksRecordsMagazines_Kittlitz_C,HalfPriceBooksRecordsMagazines_Kittlitz_C_SQL,14,14,0,0,,0,2026-02-23,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Lawrence v. Whitley Penn, LLP",OK,WhitleyPenn_Lawrence_C,WhitleyPenn_Lawrence_C_SQL,0,0,0,0,,0,2026-06-25,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Lay v. Betacom Holdings, Inc.",OK,BetacomHoldings_Lay_C,BetacomHoldings_Lay_C_SQL,163,163,0,0,,0,2025-12-17,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Leedman v. Midland Credit Management, Inc.",OK,MidlandCreditManagement_Leedeman_O,MidlandCreditManagement_Leedeman_O_SQL,1692,1692,0,0,,0,2026-04-24,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Leonard & Lee v. PCR Store 501, LLC",OK,PCRStore501_LeonardLee_C,PCRStore501_LeonardLee_C_SQL,35,35,0,0,,0,2026-03-24,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Lesperance v. JAE Oregon, Inc.",OK,JAEOregon_Lesperance_C,JAEOregon_Lesperance_C_SQL,10,10,0,0,,0,2025-11-13,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Lightner v. Allied-Locke Industries Inc.,OK,AlliedLockeIndustries_Lightner_C,AlliedLockeIndustries_Lightner_C_SQL,56,56,0,0,,0,2025-12-16,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Lopez et al. v. Universal Protection Service, LLC",OK,UniversalProtectionService_Lopez_C,UniversalProtectionService_Lopez_C_SQL,0,0,0,0,,0,2023-08-18,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Loschen v. Shoreline Community College,OK,ShorelineCommunityCollege_Loschen_C,ShorelineCommunityCollege_Loschen_C_SQL,0,0,0,0,,0,2025-04-28,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"M.N. v MultiCare Health System, Inc.",OK,MultiCareHealthSystem_MN_O,MultiCareHealthSystem_MN_O_SQL,635,635,0,0,,0,2026-02-03,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Marquez v. Midwest Division MMC, LLC",OK,MidwestDivisionMMC_Marquez_C,MidwestDivisionMMC_Marquez_C_SQL,0,0,0,0,,0,2023-03-29,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"McAuley, et al. v. Pierce College District",OK,PierceCollegeDistrict_McAuley_C,PierceCollegeDistrict_McAuley_C_SQL,0,0,0,0,,0,2025-03-03,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"McKoy v. Ott Cone & Redpath, P.A.",OK,OttConeAndRedpathPA_McKoy_C,OttConeAndRedpathPA_McKoy_C_SQL,0,0,0,0,,0,2025-12-10,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"McMillan et al. v. Blue Ridge Property Management, LLC",OK,BlueRidgePropertyManagement_McMillan_C,BlueRidgePropertyManagement_McMillan_C_SQL,0,0,0,0,,0,2023-05-25,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Medina v. Evolve Mortgage Services, LLC",OK,EvolveMortgage_Medina_C,EvolveMortgage_Medina_C_SQL,0,0,0,0,,0,2023-01-26,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Miclat v. Advanced Care Staffing,OK,AdvancedCareStaffing_Miclat_C,AdvancedCareStaffing_Miclat_C_SQL,34,34,0,0,,0,2026-02-17,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Moran et al. v. FCA US LLC - Arbitration,OK,FCA_Moran_O,FCA_Moran_A_SQL,0,0,0,0,,0,2025-08-14,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Moran et al. v. FCA US LLC - Claims,OK,FCA_Moran_O,FCA_Moran_O_SQL,0,0,0,0,,0,2023-08-14,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Munguia-Brown, et al. v. Equity Residential, et al.",OK,EquityResidential_MunguiaBrown_O,EquityResidential_MunguiaBrown_O_SQL,776,776,0,0,,0,2026-04-16,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
NorthwestPremierInvestments_Pizl_C,OK,NorthwestPremierInvestments_Pizl_C,NorthwestPremierInvestments_Pizl_C_SQL,0,0,0,0,,0,2024-10-25,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Oliveira, et al. v. Language Line Services, Inc., et al.",OK,LanguageLineServices_Oliveira_C,LanguageLineServices_Oliveira_C_SQL,0,0,0,0,,0,2024-11-13,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Ovando v. Mountaire Farms Inc.,OK,MountaireFarms_GomezOvando_C,MountaireFarms_GomezOvando_C_SQL,0,0,0,0,,0,2025-11-19,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Owusu v. Renton School District,OK,RentonSchoolDistrict_Owusu_C,RentonSchoolDistrict_Owusu_C_SQL,245,245,0,0,,0,2026-04-06,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Pacheco v. SOMIP, Inc.",OK,SOMIP_Pacheco_C,SOMIP_Pacheco_Mailing_SQL,0,0,0,0,,0,2024-12-09,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Palazuelos v. HSGI, Inc.",OK,HSGI_Palazuelos_C,HSGI_Palazuelos_C_SQL,82,82,0,0,,0,2025-12-12,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"People of the State of California v. Lavender Lingerie, LLC dba Savage X Fenty",OK,LavenderLingerie_PeopleOfTheStateOfCalifornia_C,LavenderLingerie_PeopleOfTheStateOfCalifornia_C_SQL,0,0,0,0,,0,2023-04-03,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Peterson et al. v. BSH Home Appliances Corporation,OK,BSHHomeAppliances_Peterson_C,BSHHomeAppliances_Peterson_C_SQL,0,0,0,0,,0,2025-02-12,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Pizl v. Dependable Staffing Agency, Ltd",OK,DependableStaffingAgency_Pizl_C,DependableStaffingAgency_Pizl_C_SQL,0,0,0,0,,0,2025-05-16,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Pizl v. Roadrunner Transportation Services, Inc.",OK,RoadrunnerTransportationServices_PizlRogers_C,RoadrunnerTransportationServices_PizlRogers_C_SQL,0,0,0,0,,0,2025-03-25,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Pletsch v. Roundy’s Supermarkets, Inc. and Roundy’s Illinois, LLC d/b/a/ Mariano’s",OK,RoundysSupermarkets_Pletsch_PC,RoundysSupermarkets_Pletsch_PC_SQL,0,0,0,0,,0,2022-09-26,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Plowman v. Ty Inc.,OK,Ty_Plowman_C,Ty_Plowman_C_SQL,8,8,0,0,,0,2025-06-18,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Pope, et al. v. Cura Partners, Inc.",OK,CuraPartners_Pope_C,CuraPartners_Pope_C_SQL,0,0,0,0,,0,2022-04-29,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Pope, et al. v. Cura Partners, Inc.",OK,CuraPartners_Pope_C,CuraPartners_Pope_C_SQL,0,0,0,0,,0,2022-07-07,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Progressive Leasing Breach Litigation,OK,ProgressiveLeasingBreachLitigation_C,ProgressiveLeasingBreachLitigation_C_SQL,8550,8550,0,17,,0,2026-01-22,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Ragin v. LifeBridge Health, Inc.",OK,LifeBridgeHealth_Ragin_C,LifeBridgeHealth_Ragin_C_SQL,1248,1248,0,0,,0,2026-03-02,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Rahman v. Erickson Companies, LLC",OK,EricksonCompanies_Rahman_C,EricksonCompanies_Rahman_C_SQL,283,283,0,0,,0,2026-02-10,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Ramos v. San Diego American Indian Health Center,OK,SanDiegoAmericanIndianHealthCenter_Ramos_C,SanDiegoAmericanIndianHealthCenter_Ramos_C_SQL,0,0,0,0,,0,2024-12-09,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Rasmussen v. The Walt Disney Co.,OK,WaltDisneyCompany_Rasmussen_O,WaltDisneyCompany_Rasmussen_O_SQL,61,61,0,0,,0,2025-08-16,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Richardson v Cumberland Heights Foundation, Inc.",OK,CumberlandHeightsFoundation_Richardson_C,CumberlandHeightsFoundation_Richardson_C_SQL,68,68,0,0,,0,2026-05-15,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Sablowsky v. Auto-Chlor System, LLC",OK,AutoChlor_Sablowsky_PC,AutoChlor_Sablowsky_PC_SQL,0,0,0,0,,0,2024-08-29,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Sandler v. The May Institute, Inc.",OK,MayInstitute_Sandler_C,MayInstitute_Sandler_C_SQL,93,93,0,0,,0,2025-08-07,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Schoeder-Rummel v. Mile Hi Foods, Co.",OK,MileHiFoods_SchoederRummel_C,MileHiFoods_SchoederRummel_C_SQL,73,73,0,0,,0,2026-01-20,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
